HEALTH_PROTOCOL_TYPE_IDENT,ALARM_PROTOCOL_CODE,ALARM_PROTOCOL_IDENT,DESCRIPTION,LOCALIZED_DESCRIPTION,SEVERITY,ACTIVE,NAME,EXPRESSION,SEVERITY_LEVEL,CREATED_TIMESTAMP,CREATED_LOGIN_NAME,LAST_UPDATED_TIMESTAMP,LAST_UPDATED_LOGIN_NAME,ALIAS,MUTE,IGNORE_ALARM_RULE,CAN_MERGE_ALARM,MERGE_ALARM_TIME,HAS_MIN_DURATION,MIN_DURATION,IGNORE_ALARM_RULE_SEVERITIES,CAN_FILTER_VIRTUAL_ALARM,FILTER_VIRTUAL_ALARM_TIME
05EAAC07-2A3D-4E72-913A-7ACA936B9455,44047,10011,Coolant Press Ckt Failed Low (Left),NULL,W,Y,Coolant Press Ckt Failed Low (Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
05EAAC07-2A3D-4E72-913A-7ACA936B9455,36770,10012,High Fuel Temp (Most Severe Level) Left,NULL,A,Y,High Fuel Temp (Most Severe Level) Left,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
05EAAC07-2A3D-4E72-913A-7ACA936B9455,44077,10013,Fuel Temp Ckt Failed High (Left Engine),NULL,W,Y,Fuel Temp Ckt Failed High (Left Engine),NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
05EAAC07-2A3D-4E72-913A-7ACA936B9455,44078,10014,Fuel Temp Ckt Failed Low (Left Engine),NULL,W,Y,Fuel Temp Ckt Failed Low (Left Engine),NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
05EAAC07-2A3D-4E72-913A-7ACA936B9455,44136,10015,Very Low Oil Pressure (Left Engine),NULL,A,Y,Very Low Oil Pressure (Left Engine),NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
05EAAC07-2A3D-4E72-913A-7ACA936B9455,44138,10016,Oil Press Ckt Failed High (Left Engine),NULL,W,Y,Oil Press Ckt Failed High (Left Engine),NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
05EAAC07-2A3D-4E72-913A-7ACA936B9455,44139,10017,Oil Press Ckt Failed Low (Left Engine),NULL,W,Y,Oil Press Ckt Failed Low (Left Engine),NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
05EAAC07-2A3D-4E72-913A-7ACA936B9455,36861,10018,Engine Oil Temperature High (Left Engine),NULL,A,Y,Engine Oil Temperature High (Left Engine),NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
05EAAC07-2A3D-4E72-913A-7ACA936B9455,44168,10019,Oil Temp Ckt Failed High (Left Engine),NULL,W,Y,Oil Temp Ckt Failed High (Left Engine),NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
05EAAC07-2A3D-4E72-913A-7ACA936B9455,44169,10020,Oil Temp Ckt Failed Low (Left Engine),NULL,W,Y,Oil Temp Ckt Failed Low (Left Engine),NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
05EAAC07-2A3D-4E72-913A-7ACA936B9455,44181,10021,Engine Oil Temp Above Normal (Left),NULL,W,Y,Engine Oil Temp Above Normal (Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
05EAAC07-2A3D-4E72-913A-7ACA936B9455,14-16,10022,High Lube Oil Filter Restriction (Left),NULL,W,Y,High Lube Oil Filter Restriction (Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
